Episode,Day,Speaker,Text
1,1,Rudy,"Paddling over, uh, we had two or three of those boxes in the water, dragging 'em behind the raft and that is dumb! I said “Let's get them boxes aboard. It'll will be a lot easier.” You know, “That's dead weight you got.”"
1,1,Kelly,"He was yelling at everybody “Let's lose the box! Cut it loose now!” He may be 72 years old and an ex-Navy SEAL, but that doesn't mean that this is his world. (laughs)"
1,1,Ramona,"I don't like being on the water all that much. So, I mean, the whole motion like this, (mimes raft motion) and we're rowing, and we have like 100 pounds of stuff on the raft, I just, I just started heaving. I'm used to being in a lab with my lab coat on, in the air-conditioning. But this is, like, outdoors, 24-7, and you're exerting energy, like, almost all of that time."
1,1,Dirk,"Rich, um, I appreciate what he's trying to do as far as bringing the team together and stuff, 'cause that's one thing that needs to happen. I think he's got some good skills in that area. And, unfortunately, people like that annoy me."
1,1,Richard,"I'm good to go survival wise. People wise, it'll be a little, a little more challenging. But I've got the million dollar check written already. I mean, I'm the winner. And it's that kind of cocky attitude that makes people really hate your guts. So that's the kind of thing, I've really got to keep, uh... under wraps. But, uh, it's just, how do I get there from here?"
1,2,Rudy,"The hardest part is hanging around with all these young kids. I don't even know what MTV means, you know. And I'm used to being in the military and one guy stands up, he gives an order and there's no back talk. You know, like yesterday, everybody's trying to run the show and if they'd let one person do it, we'd be much better off. But trying to keep 'em all shut up is hard. If they'd listen to me, they'd all have haircuts and everything else, you know. We'd be in formation in the morning and all that kind of stuff, but they're not going to do that. I gotta fit in, not them. You know, there's more of them than there is of me."
1,2,Sonja,"I've been thrashing around like I'm 35, instead of acting my age, but we have a doctor in our tribe − uh, Sean − and he did a wonderful job of bandaging me up. I think one of the problems with aging is the thinning of the skin, darn it, and so I think I'm maybe getting a little more banged up than some of the younger ones."
1,2,Richard,"Well, the fish traps were hanging from the boat that we were coming over here, and when we were tossed into the sea on the raft and we could take whatever we could get our hands on, we grabbed three or four fish traps and a bunch of rat traps, and so we stuck the rat traps out the first night and boom − we got a rat in each of them."
1,2,Ramona,"I didn't sleep at all. I mean, we, we closed our eyes. We kept hearing noises and, like, clicking sounds, and we're, like, okay. Um, what's his name... Uh, Joel woke up, a rat was, like, in his ear."
1,2,Joel,"I heard something squeaking in my ear. Every time a rat was trying to get on the raft, or get near us or get at something. I mean, everything was moving."
1,2,B.B.,"What we're... we're just going along the beach here and just identifying whatever we can use for the shelter, the roof. And I'm a little irritated that none of the others are down here to help carry stuff, but that's okay."
1,2,Joel,"B.B... He's a character, man. I don't think he likes me much."
1,2,B.B.,"We got a lot of lazy people if you want to know the truth. You can't do it all yourself. You know, I asked Colleen to straighten this out for me and here it is. It's the only thing she had to do today. You can't have lazy people."
1,2,Gretchen,"He had been out there, you know, all morning long and, um... you know, it was hot!"
1,2,B.B.,"And the fire started because I had bought a set of glasses with me. I was going do it and Gretchen said, “Why don't I do it? I know how to do it, too.” So, I said, “Great!” And she took my glasses and started the fire."
1,2,Susan,"If we get fire, it means we're going to have a hot meal in our stomach which is going to bring up team morale. That first hot meal might be rat soup, which I'm, like, looking forward to very much because there's nothing wrong with a rat. All a rat is, is a squirrel without a fuzzy tail."
1,2,Sean,"We made a lot of smoke but, uh, no fire. I think that it would have been nice if we had fire, but we're not going to catch fish unless we have fire to cook it and I think that if we had fire, we could have spent a lot of time sitting around the bonfire at night maybe singing songs. We have a ukulele, you know, and, uh, that didn't happen and I wish it did."
1,3,Rudy,"Before we got on the island here, I formed opinions about people, but I changed my mind just on a trip in. Rich, for one. I mean, this guy is... He's strong. He's smart. The guy surprises me. You know, he's fat, but he's... (chuckles) he's good."
1,3,Richard,"I like Rudy. I'm not bothered by his, uh, straightforwardness at all. I don't think it's even a problem. I, I like it that he's saying “Hey, do this,” or, “Hey, do that,” but people are thinking of that as very direct and arrogant. That's the word I'm hearing, and I'm thinking to myself “Well, they think he's arrogant? Oh my God, I'm out of here!”"
1,3,Kelly,"We got Tribal Council tonight. Unfortunately, we're going to have to vote somebody off. There's going to be a lot of tension and one of us is going to leave."
1,3,Richard,"Well, somebody's gone. So, it's time to think about who are they going to vote for? Why are they going to vote? I've narrowed it down to four. I'm one of them."
1,3,Sonja,"Well, it could mean a lot uh, either staying or being voted out. You know, last night's competition, I really feel responsible because I couldn't keep up and I was dragged totally off my feet. I do feel that that stumble probably cost us the Immunity Challenge and that's a big one."
1,3,Rudy,"Up until, uh, probably last night, I never gave it a second thought about who I was going to vote off or if I got voted off, but after last night, uh... I thought about it then, and I decided then."
1,3,Stacey,"I feel pretty secure, actually, about the vote tonight. Kelly and I get along real well and we've been talking about strategy, and, you know, who's not contributing as much, and who would be best to vote off, and I think we, we've come to a mutual decision and we've talked to Sue about it."
1,3,Susan,"Stacey came up to me, and it's, like, she don't like Rudy and she's, like, “Oh, I think we're going to vote for Rudy, and vote him off 'cause he's still barking.” Well, anybody's too barking and too bossy to Stacey because she doesn't move her ass. The chicks think I'm voting for one person, and I'm not."
2,4,Stacey,"I'm hungry. I think we're all pretty hungry. I've gone days when I've only had some fruit, but... there's no prospect of having any food here. (laughs) It's worse. We got two rats, primed and ready to be cooked. It's dire."
2,4,Rudy,"These guys were talking about eating a rat. And when I get hungry enough, I'll eat one, but not now. I'm not close to it yet."
2,4,Sean,"I'd like to catch something and eat something of our own, and not have it be a rat. I'd like that a lot."
2,4,Kelly,"Fishing, um... I think we've been doing, you know, what, what we're supposed to do. We've... We've collected hermit crabs. We've put them in the traps. We rafted 'em out. You know, if we can just catch the one fish, then we can use that as bait and we'll catch more."
2,4,Richard,"We're getting there. We're getting to know each other a little bit more. I really wanna learn a little bit more about Stacey. Because, you know, I voted her off. She thinks it was Rudy. She even came up to me and said, uh, “Yeah, I think Rudy voted me off, but that's okay 'cause he's next anyway.”"
2,4,Stacey,"I think after the vote at the Island Council Rudy realized that he was just sort of a liability to us. He was sitting around barking orders and not really helping out much. We've all seen him eating extra food and doing inappropriate things in the kitchen. Like, he's leaving the knives out, they're getting rusty, and he's opening canned goods and fruit without asking anybody. I mean, we don't have a lot of food here, so I spoke up. Actually, Kelly, Sue and I decided that somebody needed to say something. And we put all the canned goods in one spot. We're all going to vote before we open something else."
2,4,Rudy,"Me and her wouldn't get along If we were friends on the outside... I'd definitely avoid her. She's too, uh, prim-like, you know. I mean, uh... after about three weeks out here in this jungle, she's gonna learn a lesson, I think."
2,4,Jenna,We're getting things done because B.B. is such a great worker. He gets us up. We're moving stuff this morning and everything. He's doing that.
2,4,Colleen,"I mean, really, B.B. He's adorable. I mean, who doesn't wanna own the B.B. action figure? He's great. He's amazing. He's got more stories than anybody I've ever met in my life. I think he's a little bit out of his element and he doesn't know how to... how to fix it without being a little bit aggressive."
2,4,B.B.,"The biggest workers are probably Gretchen, Craig and... I can't think of the lady's name in the pink swimming suit, but she, works her heart up."
2,4,Gretchen,"Work ethic is a big issue to B.B. Regardless of the wonderful personality or something, you know, it comes down to that with him."
2,4,Ramona,"You're working your butt off and he doesn't like to rest. He's like this workaholic. He just wants to get it done, get it done, get it done, and, yeah, that's great sometimes, but you can't push yourself like that and still, you know, maintain... I don't know. I just... I don't see it lasting too much longer. (07:00 → 07:15 = 15s)"
