,Player,num_confessionals_mentioning_player_norm,gossip_score,normalized_mentions,popularity_score,compound
0,Stacey,1,16,3.333333333,11,-0.005577778
1,Ramona,0.894736842,15,3.25,10,0.161042105
2,Susan,0.690140845,14,0,1,0.204267606
3,Colleen,0.685185185,13,1.545454545,4,0.333901852
4,Gervase,0.642857143,12,1.8,5,0.3100375
5,B.B.,0.636363636,11,7.5,15,-0.024154545
6,Jenna,0.574468085,10,2.666666667,8,0.215361702
7,Sonja,0.5,9,0,2,0.5426
8,Sean,0.473684211,8,4.333333333,14,0.228949123
9,Richard,0.402173913,7,0.461538462,3,0.325105435
10,Gretchen,0.4,6,2.285714286,7,0.18872
11,Joel,0.363636364,5,2.166666667,6,0.060318182
12,Dirk,0.272727273,4,2.8,9,0.456345455
13,Kelly W,0.270588235,3,4,13,0.284576471
14,Greg,0.228571429,1,3.875,12,0.54276
