Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Tribe
1,Richard,0,0.125,,0,,8,1,Stacey,1,,,,,,,1,,,,,0,8,0,0,M,38,Corporate Trainer,Newport,RI,Tagi
1,Kelly W,0,0.125,,0,,8,1,Rudy,1,,,,,,,1,,,,,0,8,0,0,F,22,River Rafting Guide,Kernville,CA,Tagi
1,Rudy,0,0.125,,1,3,8,1,Sonja,,,,,,,,1,,,,,0,8,0,0,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
1,Sue,0,0.125,,1,,8,1,Sonja,1,,,,,,,1,,,,,0,8,0,0,F,38,Truck Driver,Palmyra,WI,Tagi
1,Sean,0,0.125,,1,,8,1,Sonja,1,,,,,,,1,,,,,0,8,0,0,M,30,Neurosurgeon,Carle Place,NY,Tagi
1,Colleen,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,M,23,Student,Miami Beach,FL,Pagong
1,Gervase,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
1,Jenna,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,F,22,Student,Franklin,NJ,Pagong
1,Greg,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,M,24,Ivy League Graduate,Gold Hill,CO,Pagong
1,Gretchen,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,F,38,Teacher,Clarksville,TN,Pagong
1,Joel,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,M,27,Health Club Consultant,Sherwood,AR,Pagong
1,Dirk,0,0.125,,1,,8,1,Sonja,1,,,,,,,1,,,,,0,8,0,0,M,23,Dairy Farmer,Spring Green,WI,Tagi
1,Ramona,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,F,29,Biochemist,Edison,NJ,Pagong
1,Stacey,0,0.125,,0,1,8,1,Rudy,,,,,,,,1,,,,,0,8,0,0,F,27,Attorney,San Francisco,CA,Tagi
