Season,Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Original Tribe,Merged,Tribe
36,1,Brendan Shapiro,0.333333333,0.433333333,,1,,9,1,Gonzalez,1,,,,,1,1,1,,1,3,0.333333333,0,10,0,0.333333333,M,40,Physical Education Teacher,Herndon,VA,Malolo,FALSE,Malolo
,1,Donathan Hurley,0,0.1,,1,1,9,1,Gonzalez,,,,,,,,1,,,,,0,10,0,0,M,25,Caretaker,Kimper,KY,Malolo,FALSE,Malolo
,1,Jacob Derwin,0,0.1,,,,,,,,,,,,,,1,,,,,0,10,0,0,M,22,Music Teacher,Brooklyn,NY,Malolo,FALSE,Malolo
,1,James Lim,0,0.1,,1,,9,1,Gonzalez,1,,,,,,,1,,,,,0,10,0,0,M,24,Business Analyst,New York City,NY,Malolo,FALSE,Malolo
,1,Jenna Bowman,0,0.1,,1,,9,1,Gonzalez,1,,,,,,,1,,,,,0,10,0,0,F,23,Advertising Account Executive,Venice Beach,CA,Malolo,FALSE,Malolo
,1,Laurel Johnson,0.333333333,0.433333333,,1,,9,1,Gonzalez,1,,,,,1,1,1,,1,3,0.333333333,0,10,0,0.333333333,F,29,Financial Consultant,Minneapolis,MN,Malolo,FALSE,Malolo
,1,Libby Vincek,0,0.1,,1,,9,1,Gonzalez,1,,,,,,,1,,,,,0,10,0,0,F,24,Social Media Strategist,Houston,TX,Malolo,FALSE,Malolo
,1,Michael Yerger,0.333333333,0.433333333,,1,,9,1,Gonzalez,1,,,,,1,1,1,,1,3,0.333333333,0,10,0,0.333333333,M,18,Real Estate Agent,Los Angeles,CA,Malolo,FALSE,Malolo
,1,Stephanie Gonzalez,0,0.1,,0,8,9,1,Donathan,,,,,,,,1,,,,,0,10,0,0,F,26,Graphic Saleswoman,Ocala,FL,Malolo,FALSE,Malolo
,1,Stephanie Johnson,0,0.1,,1,,9,1,Gonzalez,1,,,,,,,1,,,,,0,10,0,0,F,34,Yoga Instructor,Chicago,IL,Malolo,FALSE,Malolo
,1,Angela Perkins,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,42,Army Veteran,Cincinnati,OH,Naviti,FALSE,Naviti
,1,Bradley Kleihege,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,M,26,Law Student,Los Angeles,CA,Naviti,FALSE,Naviti
,1,Chelsea Townsend,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,25,EMT/Pro Cheerleader,Los Angeles,CA,Naviti,FALSE,Naviti
,1,Chris Noble,0.1,0.433333333,,,,,,,,,,,,1,,1,1,0,3,0,1,10,0.1,0.1,M,27,Male Model,Brooklyn,NY,Naviti,FALSE,Naviti
,1,Desiree Afuye,0.1,0.433333333,,,,,,,,,,,,1,,1,1,0,3,0,1,10,0.1,0.1,F,21,Student,Brooklyn,NY,Naviti,FALSE,Naviti
,1,Domenick Abbate,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,M,38,Construction Supervisor,Nesconset,NY,Naviti,FALSE,Naviti
,1,Kellyn Bechtold,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,30,Career Counselor,Denver,CO,Naviti,FALSE,Naviti
